student_id,first_name,last_name,gender,dob,grade_level,enrollment_date,parent_education_level,family_income,transport_mode
S1076,Ashley,Martin,Male,2016-01-17,6,2024-07-15,PhD,977082,Bicycle
S1077,Jennifer,Ramsey,Male,2019-03-24,4,2024-08-24,High School,888742,Walk
S1078,Jessica,Murphy,Female,2007-02-04,1,2022-10-01,High School,822343,Car
S1079,Ann,Mclean,Female,2011-05-24,11,2022-12-10,High School,329766,Walk
S1080,Scott,Harris,Male,2014-05-31,7,2022-04-30,None,950300,Bicycle
S1081,Diane,Espinoza,Male,2007-04-16,4,2022-02-21,Master,416643,Car
S1082,Samantha,Stephenson,Male,2016-01-09,4,2024-10-29,None,742094,Walk
S1083,Philip,Rodriguez,Female,2007-02-02,6,2021-04-23,Bachelor,956339,Bus
S1084,Jordan,Clarke,Female,2017-07-20,6,2024-01-17,PhD,469093,Car
S1085,Stephanie,Nolan,Male,2017-09-10,2,2025-06-15,Bachelor,237241,Car
S1086,Albert,George,Male,2007-08-13,2,2023-06-16,PhD,505673,Car
S1087,Tanner,Fernandez,Female,2008-05-01,7,2022-07-30,PhD,586265,Bus
S1088,Tristan,Miller,Female,2011-06-14,10,2023-04-14,High School,317095,Bus
S1089,Sara,Smith,Female,2010-01-26,1,2022-07-04,PhD,895687,Walk
S1090,Dustin,Bryan,Female,2015-04-17,7,2024-11-23,None,746503,Car
S1091,Kelsey,Krueger,Female,2016-03-24,11,2020-11-01,None,804717,Car
S1092,Corey,Torres,Female,2014-12-26,11,2024-10-15,Master,392027,Bicycle
S1093,Craig,David,Female,2018-03-01,9,2022-10-08,High School,251158,Bicycle
S1094,Carolyn,Sullivan,Female,2012-04-21,11,2022-01-26,High School,695414,Car
S1095,Tammy,Holland,Female,2012-06-27,9,2025-05-10,None,368635,Car
S1096,Nicole,Wiggins,Male,2016-07-14,7,2024-10-12,PhD,686130,Car
S1097,Lisa,Bowen,Female,2012-02-01,8,2022-02-20,Master,758446,Walk
S1098,Heather,Yates,Female,2014-03-03,12,2024-07-28,High School,740855,Bus
S1099,Kenneth,Long,Female,2008-07-07,9,2025-06-08,PhD,401470,Bus
S1100,Michael,Miller,Male,2007-06-15,11,2025-04-07,Bachelor,285552,Walk
S1101,Amy,Kline,Male,2016-03-25,1,2025-04-06,None,306736,Bicycle
S1102,Luis,Pierce,Male,2006-11-18,8,2025-04-08,Master,979181,Walk
S1103,Kevin,Mendoza,Female,2008-05-02,8,2023-06-04,Master,305836,Walk
S1104,Vanessa,Wagner,Male,2019-06-09,2,2020-12-10,Master,279471,Walk
S1105,Melissa,Romero,Female,2017-09-03,1,2021-01-09,PhD,311303,Bus
S1106,David,Blackburn,Female,2019-02-10,3,2021-11-15,Master,750005,Car
S1107,Javier,Wolf,Female,2014-08-02,10,2024-08-29,PhD,497470,Bicycle
S1108,Emily,Flores,Male,2013-09-04,12,2024-07-24,Master,521932,Car
S1109,Jacob,Lozano,Male,2007-05-24,11,2021-02-14,Bachelor,853013,Bicycle
S1110,Daniel,Douglas,Male,2006-11-11,5,2024-11-22,Master,131247,Car
S1111,James,Hall,Male,2016-05-10,5,2022-10-18,Bachelor,385239,Bus
S1112,Sarah,Washington,Male,2007-03-09,3,2023-01-05,High School,451641,Walk
S1113,Joel,Boyle,Male,2019-04-18,2,2025-02-17,Master,477398,Car
S1114,Nicole,Henry,Female,2014-03-12,7,2025-02-22,None,266881,Bicycle
S1115,Amber,Jones,Female,2007-11-21,10,2022-03-26,None,948348,Bicycle
S1116,Kenneth,Huffman,Female,2016-04-18,1,2022-02-07,Bachelor,363118,Bicycle
S1117,Summer,Greene,Female,2016-09-08,9,2024-04-09,PhD,888722,Walk
S1118,John,Austin,Female,2008-05-07,4,2023-08-20,Bachelor,507007,Bicycle
S1119,Lindsey,Dixon,Male,2018-12-06,7,2021-03-09,Bachelor,751364,Bicycle
S1120,Stephen,Stewart,Male,2016-10-10,8,2022-09-24,High School,702483,Bus
S1121,Jonathan,Hartman,Female,2012-02-13,10,2024-08-17,PhD,745205,Bus
S1122,Brittany,Walker,Male,2011-11-02,11,2024-11-07,Master,192291,Bicycle
S1123,Corey,Atkinson,Male,2015-05-28,1,2025-07-14,Bachelor,447519,Car
S1124,Michael,Walton,Male,2017-09-18,8,2025-04-11,Bachelor,403894,Bicycle
S1125,Levi,Williams,Female,2007-01-09,7,2021-07-07,Bachelor,925467,Bus
S1126,Christina,Jones,Female,2013-07-05,1,2022-07-11,PhD,104615,Car
S1127,Marilyn,Lee,Male,2007-02-23,11,2023-05-19,None,869182,Bus
S1128,Trevor,Kelly,Male,2017-05-02,4,2021-08-23,High School,929995,Bus
S1129,Rachel,Lawson,Male,2017-09-28,4,2023-12-19,High School,546564,Bus
S1130,Jennifer,Short,Male,2013-06-21,8,2022-02-05,Bachelor,854150,Car
S1131,Alicia,Perez,Male,2019-02-07,10,2022-05-10,PhD,834256,Bus
S1132,Lauren,Williams,Male,2009-03-05,5,2025-03-30,None,656794,Bus
S1133,Nicholas,Rodriguez,Female,2017-03-07,10,2024-06-03,Master,465922,Walk
S1134,Steven,Gould,Male,2017-12-24,10,2021-04-24,High School,156851,Car
S1135,Joshua,Mack,Male,2011-10-11,10,2021-01-22,None,414069,Bicycle
S1136,David,Terrell,Female,2016-03-25,2,2024-01-27,PhD,728998,Car
S1137,Zachary,Freeman,Male,2017-05-22,7,2024-12-11,Master,160665,Bicycle
S1138,Shannon,Gonzales,Female,2016-11-01,11,2023-07-02,Master,791666,Walk
S1139,Matthew,Thompson,Female,2011-12-27,3,2025-03-08,PhD,732054,Car
S1140,Sarah,Smith,Female,2012-01-14,8,2021-12-24,Master,915845,Car
S1141,Travis,Garcia,Female,2019-01-13,4,2021-04-23,None,342477,Bicycle
S1142,Dawn,Duran,Male,2015-10-03,8,2021-09-15,PhD,689979,Bicycle
S1143,Douglas,Smith,Female,2009-11-15,1,2023-03-19,Master,942288,Car
S1144,Dennis,Lee,Male,2008-05-08,8,2023-02-06,High School,422060,Car
S1145,Maria,Pacheco,Female,2014-02-17,5,2023-10-07,PhD,785244,Car
S1146,Tamara,Allen,Male,2009-01-12,9,2024-11-02,High School,139771,Walk
S1147,Kelsey,Macdonald,Female,2016-04-23,8,2021-03-10,PhD,844993,Walk
S1148,Jonathan,Hickman,Female,2018-02-16,11,2023-02-22,Master,519945,Bus
S1149,Jackie,Taylor,Male,2013-03-26,5,2020-11-02,High School,474045,Walk
S1150,Kurt,Brooks,Female,2012-04-25,11,2024-08-17,PhD,436945,Bicycle
S1151,Lee,Williams,Female,2013-03-02,7,2024-08-18,PhD,396859,Car
S1152,Michael,Thomas,Female,2015-05-21,5,2021-02-25,Bachelor,313615,Walk
S1153,Dustin,Berry,Male,2012-07-06,12,2025-04-30,High School,380876,Bus
S1154,Pamela,Pruitt,Male,2011-02-24,4,2024-08-01,High School,824483,Bicycle
S1155,Julie,Richards,Female,2013-07-26,12,2022-01-20,PhD,847135,Car
S1156,Donna,Lopez,Male,2012-06-09,4,2023-10-29,Bachelor,288533,Car
S1157,Eric,Sanders,Male,2010-04-02,5,2025-06-13,None,792411,Walk
S1158,Marcus,Campbell,Female,2014-06-16,1,2024-07-31,None,630238,Car
S1159,Nicole,Smith,Male,2010-09-09,11,2024-06-12,Master,157570,Bus
S1160,Elizabeth,Gomez,Female,2008-03-23,8,2025-02-01,Master,511865,Car
S1161,Sharon,Morris,Male,2007-03-24,1,2025-03-15,Bachelor,953582,Bicycle
S1162,Jason,Parker,Male,2017-05-30,2,2025-07-29,Master,565633,Bus
S1163,Vincent,Oconnor,Male,2018-03-05,3,2021-08-21,High School,900544,Car
S1164,Peter,Wilson,Male,2012-01-21,4,2022-07-01,None,635181,Bicycle
S1165,Amanda,Decker,Male,2017-02-02,9,2022-02-06,Master,522398,Bicycle
S1166,Denise,Murray,Female,2012-05-20,10,2023-10-15,Master,370214,Bus
S1167,Eric,Moore,Male,2015-06-14,4,2021-03-31,High School,327501,Bus
S1168,Michael,Griffith,Male,2014-08-29,4,2024-08-28,High School,628805,Bus
S1169,Crystal,Salazar,Male,2012-10-20,1,2025-03-18,Master,522387,Bicycle
S1170,Dawn,Keller,Female,2015-12-02,1,2021-10-28,High School,352099,Car
S1171,Matthew,Drake,Female,2014-08-20,2,2025-02-06,High School,327405,Walk
S1172,Jason,Gibson,Female,2010-10-21,2,2024-08-08,PhD,285729,Walk
S1173,Tiffany,Ortega,Female,2011-10-01,3,2024-12-13,None,112535,Walk
S1174,Jenny,Saunders,Female,2015-02-13,10,2024-02-24,PhD,352630,Bicycle
S1175,Susan,Lewis,Male,2007-03-11,8,2025-04-10,Bachelor,783723,Bicycle
S1176,Dana,Aguilar,Female,2012-02-18,9,2025-05-01,PhD,567781,Bicycle
S1177,Kimberly,Mason,Male,2014-12-25,10,2021-06-29,None,982627,Bicycle
S1178,Christopher,Reynolds,Female,2013-03-09,10,2023-01-06,Bachelor,77121,Bus
S1179,Andrea,Higgins,Male,2017-04-02,11,2023-03-06,PhD,665643,Bus
S1180,Samantha,Holland,Female,2016-06-29,10,2021-01-03,None,850177,Walk
S1181,April,Vazquez,Female,2013-10-21,9,2025-05-14,Master,341668,Walk
S1182,Megan,Adams,Female,2017-03-12,11,2020-10-31,Master,145674,Bicycle
S1183,Bradley,Mills,Female,2014-03-15,7,2025-01-10,Bachelor,386653,Bus
S1184,David,Smith,Male,2016-09-15,6,2021-06-04,Master,777369,Bicycle
S1185,James,Flores,Female,2013-02-04,11,2024-04-29,Master,903085,Bus
S1186,Scott,Palmer,Female,2009-03-22,2,2024-05-17,Bachelor,314659,Car
S1187,Elaine,Tucker,Male,2009-09-05,7,2021-10-15,PhD,914998,Bus
S1188,Justin,Reed,Female,2013-05-23,7,2021-09-14,None,246694,Car
S1189,Zachary,Johnson,Female,2017-11-08,11,2025-04-28,Master,846907,Bus
S1190,Brandon,Daniels,Male,2014-01-15,5,2024-05-26,PhD,187377,Car
S1191,Carla,Berry,Female,2017-02-01,12,2022-08-08,Master,177324,Bus
S1192,James,Graham,Male,2011-09-10,12,2021-10-27,High School,375845,Bus
S1193,Kathleen,Guzman,Female,2012-01-07,2,2025-02-27,High School,932277,Bus
S1194,Patricia,Smith,Female,2015-03-27,2,2023-03-26,High School,572584,Car
S1195,David,Brown,Female,2016-09-09,7,2023-07-06,Master,545158,Walk
S1196,Devin,Miller,Female,2013-07-16,9,2021-01-05,High School,452219,Walk
S1197,Tyler,Shepherd,Male,2010-10-28,2,2023-04-28,Bachelor,860208,Bicycle
S1198,Donna,White,Female,2013-03-09,9,2022-12-17,Bachelor,910408,Bus
S1199,Gregory,Martinez,Female,2009-03-16,12,2025-08-10,Bachelor,928157,Bicycle
S1200,Anthony,Wilson,Male,2009-10-22,8,2024-04-09,PhD,557868,Car
S1201,Virginia,Brown,Female,2017-09-13,9,2021-03-18,PhD,445533,Bicycle
S1202,Sheila,Davis,Female,2018-07-24,4,2023-06-12,High School,649573,Bicycle
S1203,Diana,Allen,Male,2016-12-28,7,2023-07-12,None,383632,Bicycle
S1204,Teresa,Forbes,Female,2007-11-21,7,2023-04-10,High School,569389,Bus
S1205,Deanna,Houston,Male,2019-05-21,9,2023-01-26,PhD,398121,Bus
S1206,Amanda,Rodriguez,Female,2016-12-09,2,2023-12-15,PhD,529123,Bus
S1207,Matthew,Mcdowell,Male,2008-05-23,7,2021-01-04,High School,128463,Bicycle
S1208,Jeremy,Edwards,Female,2014-04-30,6,2023-08-23,PhD,776353,Bicycle
S1209,Vanessa,Davis,Male,2018-03-10,6,2022-10-15,PhD,448468,Car
S1210,Dustin,Robinson,Female,2012-10-02,9,2021-11-28,None,697453,Bus
S1211,Jessica,Perez,Male,2017-10-25,11,2024-03-30,Bachelor,288536,Bus
S1212,Roger,Smith,Female,2007-10-15,2,2021-03-08,None,515230,Walk
S1213,Margaret,Vaughn,Female,2015-11-09,1,2021-06-24,None,390131,Bus
S1214,Rachel,Skinner,Female,2015-11-24,6,2022-10-14,Bachelor,501607,Walk
S1215,James,Mercer,Male,2018-01-28,9,2021-11-18,Master,643418,Walk
S1216,Cathy,Barnes,Male,2014-09-02,3,2021-01-15,None,689098,Bicycle
S1217,Spencer,Hicks,Male,2017-08-07,8,2024-01-25,PhD,200069,Walk
S1218,Dustin,Scott,Female,2014-05-16,11,2022-12-05,Bachelor,531894,Car
S1219,Chelsea,Kim,Male,2012-05-09,8,2024-07-02,Bachelor,760526,Walk
S1220,Michele,Klein,Male,2015-09-06,8,2023-06-12,Bachelor,666113,Car
S1221,Chelsea,Robinson,Female,2006-09-03,12,2022-06-21,Bachelor,529027,Car
S1222,Carmen,Nguyen,Male,2019-05-07,7,2023-02-05,Master,161834,Walk
S1223,Tamara,Robertson,Female,2016-12-21,10,2024-09-25,Bachelor,652733,Car
S1224,Christopher,Newman,Female,2010-12-08,1,2024-04-18,Master,337813,Bus
S1225,Katrina,Gonzales,Male,2019-08-15,10,2021-09-15,Master,923294,Car
S1226,Jonathan,Willis,Male,2007-01-24,10,2021-11-08,Bachelor,279642,Walk
S1227,Monica,Taylor,Female,2013-07-08,11,2024-07-23,High School,708765,Bus
S1228,Nathan,Blackburn,Male,2016-12-05,5,2022-02-27,Master,84985,Car
S1229,David,Lopez,Male,2013-07-31,2,2020-11-07,Bachelor,392589,Bicycle
S1230,Amanda,Johnson,Male,2014-01-14,4,2023-03-16,High School,874718,Car
S1231,Nicholas,Romero,Female,2014-04-29,3,2021-03-27,Bachelor,914749,Bicycle
S1232,Nicholas,Payne,Female,2008-01-06,12,2025-02-12,Bachelor,893298,Bus
S1233,Melissa,Martinez,Female,2006-12-16,2,2021-03-24,High School,840785,Walk
S1234,Paul,Brown,Female,2014-07-25,9,2022-04-13,Bachelor,144689,Bicycle
S1235,David,Brooks,Male,2007-06-22,5,2022-02-13,PhD,179592,Bicycle
S1236,Cynthia,Oneal,Female,2010-03-16,11,2023-03-01,Bachelor,662955,Bicycle
S1237,Nathan,Scott,Female,2019-01-09,2,2025-04-28,High School,544379,Bus
S1238,Theresa,Martinez,Female,2019-04-11,10,2024-01-02,High School,729112,Bus
S1239,Matthew,Lee,Female,2015-06-13,12,2023-07-13,Bachelor,730776,Bicycle
S1240,Tyler,Daniels,Male,2017-11-08,3,2025-06-02,None,89019,Car
S1241,Daniel,Garrett,Female,2011-03-02,2,2025-04-07,None,296205,Walk
S1242,Nancy,Poole,Female,2017-05-17,8,2021-04-10,Bachelor,753055,Bicycle
S1243,Linda,Miller,Male,2007-10-29,7,2025-02-20,None,924190,Bicycle
S1244,Michael,Anderson,Female,2010-06-28,5,2020-09-22,None,773811,Car
S1245,Bryan,Hernandez,Male,2013-12-24,8,2022-12-01,Master,297582,Car
S1246,Ryan,Bell,Male,2013-12-14,11,2023-01-21,Bachelor,620913,Car
S1247,Kevin,Barnes,Male,2017-02-27,7,2022-10-24,Bachelor,249028,Bus
S1248,John,Kelley,Female,2016-04-14,2,2024-11-14,High School,722875,Bus
S1249,John,Mata,Male,2011-04-26,6,2023-03-04,High School,182040,Walk
S1250,Julie,Dominguez,Male,2009-04-21,9,2022-10-16,High School,664867,Walk
S1251,Brandon,Brown,Male,2009-09-15,6,2021-06-17,High School,876952,Bus
S1252,Amanda,Heath,Female,2014-06-25,3,2022-08-14,High School,616456,Car
S1253,Carlos,Perez,Male,2017-06-07,2,2024-01-22,None,188205,Bus
S1254,Seth,Moore,Female,2014-09-11,4,2021-07-05,PhD,389498,Bus
S1255,Claudia,Reyes,Male,2018-12-07,5,2025-07-11,None,182915,Bicycle
S1256,Catherine,Wilson,Male,2011-08-16,12,2020-09-06,None,549380,Bicycle
S1257,Shelby,Moore,Female,2015-09-24,9,2024-12-29,PhD,164351,Bicycle
S1258,Patricia,Barker,Male,2018-07-29,10,2022-05-06,None,812569,Car
S1259,Jimmy,Thomas,Female,2010-10-03,11,2022-05-26,None,113780,Bicycle
S1260,Kari,Smith,Female,2009-06-14,7,2021-01-11,None,564084,Bicycle
S1261,David,Craig,Male,2011-07-02,2,2022-05-25,Bachelor,687846,Walk
S1262,Gabriella,Stone,Male,2012-03-26,3,2022-12-19,Bachelor,704644,Car
S1263,Janet,Ramos,Female,2011-11-07,10,2025-03-31,PhD,359222,Bicycle
S1264,Peter,Romero,Female,2013-10-02,2,2021-10-24,None,944217,Walk
S1265,Frank,Padilla,Female,2009-04-19,8,2023-01-05,High School,483914,Car
S1266,Andrew,Molina,Female,2017-01-15,7,2022-08-03,Master,815054,Bus
S1267,Carrie,Wheeler,Female,2017-05-29,7,2021-06-02,Bachelor,747416,Car
S1268,Matthew,Collins,Female,2017-12-25,3,2023-12-10,Master,120394,Bus
S1269,Rhonda,Reed,Male,2014-12-21,2,2023-06-05,Master,151255,Car
S1270,Susan,Adams,Male,2007-10-28,9,2021-02-20,None,664953,Car
S1271,Michael,Hayes,Male,2008-11-05,7,2020-11-25,Bachelor,966043,Bicycle
S1272,Heather,Phillips,Male,2019-03-21,5,2022-07-12,PhD,377626,Car
S1273,Shannon,Moreno,Male,2014-03-03,10,2020-11-13,PhD,273072,Walk
S1274,Wayne,Strickland,Female,2018-10-22,4,2024-10-02,None,417121,Car
S1275,Thomas,Allen,Male,2006-11-04,5,2023-04-15,PhD,287144,Bicycle
S1276,Martha,Bryant,Male,2007-11-30,10,2023-05-10,Bachelor,80359,Walk
S1277,Debra,Cook,Female,2019-07-25,12,2021-06-13,Bachelor,406331,Car
S1278,Kimberly,Olsen,Male,2011-05-18,3,2025-04-12,High School,643830,Bicycle
S1279,Daniel,Mills,Male,2016-12-15,3,2023-06-18,None,146214,Walk
S1280,Susan,Miller,Female,2011-06-05,7,2021-08-16,Master,407455,Walk
S1281,Felicia,Taylor,Female,2016-10-28,5,2024-06-18,Bachelor,864571,Bus
S1282,Jessica,Joseph,Male,2014-12-03,3,2021-08-02,High School,841083,Bus
S1283,Abigail,Hudson,Male,2019-05-23,5,2025-01-16,Master,744093,Bicycle
S1284,Jennifer,Ramirez,Female,2018-02-14,10,2022-04-22,Master,484303,Car
S1285,Ashley,Koch,Male,2018-08-05,9,2022-10-15,None,411939,Bicycle
S1286,Billy,Pena,Male,2012-03-23,5,2025-07-11,PhD,560271,Car
S1287,Charles,Hudson,Male,2010-07-22,4,2023-03-09,Master,678437,Bus
S1288,Frank,Fisher,Male,2019-06-22,4,2022-12-15,Bachelor,271494,Walk
S1289,Jennifer,Day,Female,2008-01-12,5,2021-07-15,Bachelor,175812,Bus
S1290,Marie,Wright,Female,2014-05-29,12,2023-01-30,Master,234229,Walk
S1291,Anthony,Stanley,Female,2014-05-04,9,2021-01-14,High School,574563,Car
S1292,Kyle,Taylor,Male,2011-09-09,7,2021-12-07,None,507409,Bus
S1293,Ronald,Wood,Female,2017-01-03,2,2022-08-29,Bachelor,653727,Bicycle
S1294,Kevin,Reese,Female,2009-08-07,12,2022-09-28,Master,353578,Bus
S1295,Mark,Sanford,Female,2017-02-12,1,2024-10-31,Bachelor,230222,Bicycle
S1296,Michael,Edwards,Female,2010-08-19,2,2024-02-19,Master,935506,Bus
S1297,Maria,James,Male,2010-07-06,7,2021-04-07,PhD,469902,Bus
S1298,Courtney,Phillips,Female,2019-06-28,5,2024-02-25,Bachelor,282335,Car
S1299,George,Grant,Male,2007-10-31,2,2024-04-19,PhD,713984,Bus
S1300,Daniel,Curtis,Male,2013-06-22,6,2024-09-19,Bachelor,812712,Walk
S1301,Noah,Walker,Male,2017-02-02,2,2022-01-29,High School,318402,Walk
S1302,Rebecca,Mitchell,Male,2017-10-18,10,2021-12-27,High School,847143,Bus
S1303,Jason,Dunn,Male,2017-03-24,11,2023-11-02,Master,536490,Bicycle
S1304,Sheryl,Harvey,Female,2007-02-21,11,2025-05-26,Bachelor,208290,Bicycle
S1305,Samantha,Lee,Male,2010-10-13,8,2020-09-14,Master,712055,Car
S1306,Diana,Johnson,Female,2009-11-09,10,2022-09-25,None,419038,Bus
S1307,John,Eaton,Female,2008-06-26,8,2020-11-10,Master,89434,Bus
S1308,Courtney,Martin,Female,2014-10-28,5,2022-12-15,None,725981,Bus
S1309,Joanne,Potter,Female,2019-03-10,8,2025-07-26,PhD,631242,Bus
S1310,Jacob,Fitzgerald,Female,2018-06-19,10,2023-04-15,High School,387145,Bicycle
S1311,Brenda,Cole,Male,2007-09-21,1,2023-05-02,Master,158529,Car
S1312,Christina,Wright,Male,2012-08-27,9,2022-08-02,High School,91043,Walk
S1313,James,Flynn,Female,2007-12-08,8,2021-06-09,PhD,598141,Walk
S1314,Robert,Stanley,Female,2015-06-20,6,2022-08-29,Bachelor,456235,Bicycle
S1315,Sydney,Stanton,Female,2018-11-18,11,2022-12-03,PhD,104909,Car
S1316,Larry,Gray,Male,2015-07-11,6,2022-08-26,None,635066,Bicycle
S1317,Wendy,Higgins,Female,2007-10-22,5,2023-03-25,PhD,965700,Walk
S1318,Jessica,Parker,Female,2011-10-14,2,2021-10-12,PhD,745847,Walk
S1319,Robert,Floyd,Female,2014-12-05,5,2024-08-11,Master,185215,Bus
S1320,Amy,Torres,Female,2006-11-16,9,2022-05-18,Master,724751,Car
S1321,Roger,Michael,Male,2018-02-26,11,2022-08-22,PhD,147992,Bicycle
